name,latitude,longitude,prefecture,description,url
清滝トンネル,35.033448,135.660575,京都府,清滝トンネルとは、京都府京都市にあるトンネルの心霊スポットです。老爺、動物、少年の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=26&utm_source=mymap
旧東山トンネル（花山トンネル）,34.989657,135.790642,滋賀県,旧東山トンネル（花山トンネル）とは、京都府京都市にあるトンネルの心霊スポットです。老婆、女性、動物の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=55&utm_source=mymap
深泥池,35.057716,135.768449,京都府,深泥池とは、京都府京都市にある湖（池）・ダムの心霊スポットです。動物、少女、正体不明の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=56&utm_source=mymap
船岡山,35.039518,135.74221,京都府,船岡山とは、京都府京都市にある山・森の心霊スポットです。女性、男性、老婆の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=57&utm_source=mymap
将軍塚,35.002046,135.787167,京都府,将軍塚とは、京都府京都市にある墓地・慰霊碑の心霊スポットです。少年、正体不明、男性の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=58&utm_source=mymap
野間トンネル,34.933714,135.475955,京都府,野間トンネルとは、大阪府豊能町にあるトンネルの心霊スポットです。男性、老婆、正体不明の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=59&utm_source=mymap
妙見山（しおき場）,34.935736,135.471423,京都府,妙見山（しおき場）とは、大阪府能勢町にある山・森の心霊スポットです。少女、男性、動物の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=60&utm_source=mymap
滝畑第三トンネル,34.399394,135.520932,大阪府,滝畑第三トンネルとは、大阪府河内長野市にあるトンネルの心霊スポットです。老爺、男性、正体不明の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=61&utm_source=mymap
一龍旅館,34.397643,135.382497,大阪府,一龍旅館とは、大阪府貝塚市にあるホテル・旅館の心霊スポットです。正体不明、少女、女性の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=62&utm_source=mymap
廃養護学校,34.412004,135.37252,大阪府,廃養護学校とは、大阪府貝塚市にある学校の心霊スポットです。老婆、正体不明、動物の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=63&utm_source=mymap
