name,latitude,longitude,prefecture,description,url
清滝トンネル,35.033448,135.660575,京都府,清滝トンネルとは、京都府京都市にあるトンネルの心霊スポットです。老爺、動物、少年の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=26&utm_source=mymap
深泥池,35.057716,135.768449,京都府,深泥池とは、京都府京都市にある湖（池）・ダムの心霊スポットです。動物、少女、正体不明の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=56&utm_source=mymap
船岡山,35.039518,135.74221,京都府,船岡山とは、京都府京都市にある山・森の心霊スポットです。女性、男性、老婆の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=57&utm_source=mymap
将軍塚,35.002046,135.787167,京都府,将軍塚とは、京都府京都市にある墓地・慰霊碑の心霊スポットです。少年、正体不明、男性の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=58&utm_source=mymap
野間トンネル,34.933714,135.475955,京都府,野間トンネルとは、大阪府豊能町にあるトンネルの心霊スポットです。男性、老婆、正体不明の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=59&utm_source=mymap
妙見山（しおき場）,34.935736,135.471423,京都府,妙見山（しおき場）とは、大阪府能勢町にある山・森の心霊スポットです。少女、男性、動物の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=60&utm_source=mymap
首塚大明神,34.987034,135.639484,京都府,首塚大明神とは、京都府京都市にある神社・寺の心霊スポットです。女性、少年、老婆の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=182&utm_source=mymap
笠置トンネル,34.760345,135.947453,京都府,笠置トンネルとは、京都府笠置町にあるトンネルの心霊スポットです。少年、正体不明、少女の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=216&utm_source=mymap
メタボ広沢,35.020809,135.686475,京都府,メタボ広沢とは、京都府京都市にある住居の心霊スポットです。少年、正体不明、男性の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=218&utm_source=mymap
血の池,35.033199,135.673459,京都府,血の池とは、京都府京都市にある湖（池）・ダムの心霊スポットです。少年、正体不明、女性の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=534&utm_source=mymap
落合橋と赤橋トンネル,35.031674,135.650706,京都府,落合橋と赤橋トンネルとは、京都府京都市にある橋の心霊スポットです。正体不明、少女、女性の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=535&utm_source=mymap
泉の広場,34.702005,135.501896,京都府,泉の広場とは、大阪府大阪市にあるその他の心霊スポットです。男性、老爺、少年の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=541&utm_source=mymap
一庫ダム（龍化トンネル）,34.924073,135.409727,京都府,一庫ダム（龍化トンネル）とは、兵庫県猪名川町にあるトンネルの心霊スポットです。老爺、女性、少女の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=556&utm_source=mymap
ロシア病院,35.497594,135.443907,京都府,ロシア病院とは、京都府舞鶴市にある病院の心霊スポットです。老婆、女性、男性の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=602&utm_source=mymap
比叡山回転展望閣,35.064654,135.829008,京都府,比叡山回転展望閣とは、京都府京都市にある公園・城跡の心霊スポットです。老爺、男性、少女の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=609&utm_source=mymap
魔のカーブ（京都）,34.958633,135.680399,京都府,魔のカーブ（京都）とは、京都府京都市にある道・峠の心霊スポットです。少年、正体不明、老婆の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=696&utm_source=mymap
老ノ坂バス停,34.991615,135.638192,京都府,老ノ坂バス停とは、京都府亀岡市にあるその他の心霊スポットです。正体不明、老爺、老婆の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=700&utm_source=mymap
天蓋の花公園,34.980287,135.660385,京都府,天蓋の花公園とは、京都府京都市にある公園・城跡の心霊スポットです。老爺、少女、正体不明の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=702&utm_source=mymap
石澄の滝までの道中の廃墟群,34.840258,135.454061,京都府,石澄の滝までの道中の廃墟群とは、大阪府箕面市にある村・集落の心霊スポットです。少年、動物、老婆の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=804&utm_source=mymap
箕面の滝,34.852502,135.472017,京都府,箕面の滝とは、大阪府箕面市にある川・滝の心霊スポットです。女性、動物、男性の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=872&utm_source=mymap
太秦駅,35.017049,135.700203,京都府,太秦駅とは、京都府京都市にある駅・踏切の心霊スポットです。老婆、正体不明、女性の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=944&utm_source=mymap
JR保津峡駅,35.02286,135.639928,京都府,JR保津峡駅とは、京都府亀岡市にある駅・踏切の心霊スポットです。正体不明、動物、女性の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=945&utm_source=mymap
源氏の滝,34.79021,135.704114,京都府,源氏の滝とは、大阪府交野市にある川・滝の心霊スポットです。男性、少女、女性の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=974&utm_source=mymap
老ノ坂トンネル,34.989723,135.63618,京都府,老ノ坂トンネルとは、京都府亀岡市にあるトンネルの心霊スポットです。正体不明、動物、少年の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=983&utm_source=mymap
保津川,35.017336,135.587664,京都府,保津川とは、京都府亀岡市にある川・滝の心霊スポットです。女性、少女、老婆の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=984&utm_source=mymap
五月山,34.837759,135.439078,京都府,五月山とは、大阪府池田市にある山・森の心霊スポットです。男性、老婆、動物の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=1074&utm_source=mymap
象の像がある岩滝寺,34.879031,135.628292,京都府,象の像がある岩滝寺とは、大阪府高槻市にある神社・寺の心霊スポットです。男性、少年、老婆の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=1097&utm_source=mymap
貴船神社,35.121585,135.762915,京都府,貴船神社とは、京都府京都市にある神社・寺の心霊スポットです。男性、正体不明、女性の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=1101&utm_source=mymap
くろんど池,34.762231,135.714386,京都府,くろんど池とは、奈良県生駒市にある湖（池）・ダムの心霊スポットです。老爺、老婆、正体不明の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=1222&utm_source=mymap
鶴見緑地公園,34.714415,135.580279,京都府,鶴見緑地公園とは、大阪府大阪市にある公園・城跡の心霊スポットです。女性、動物、少女の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=1402&utm_source=mymap
