name,latitude,longitude,prefecture,description,url
滝畑第三トンネル,34.399394,135.520932,大阪府,滝畑第三トンネルとは、大阪府河内長野市にあるトンネルの心霊スポットです。老爺、男性、正体不明の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=61&utm_source=mymap
一龍旅館,34.397643,135.382497,大阪府,一龍旅館とは、大阪府貝塚市にあるホテル・旅館の心霊スポットです。正体不明、少女、女性の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=62&utm_source=mymap
廃養護学校,34.412004,135.37252,大阪府,廃養護学校とは、大阪府貝塚市にある学校の心霊スポットです。老婆、正体不明、動物の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=63&utm_source=mymap
リバーサイド病院,34.597178,135.474098,大阪府,リバーサイド病院とは、大阪府堺市にある病院の心霊スポットです。女性、老婆、男性の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=67&utm_source=mymap
白高大神,34.661561,135.744395,大阪府,白高大神とは、奈良県山市にある神社・寺の心霊スポットです。男性、正体不明、少女の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=71&utm_source=mymap
千日デパート火災現場跡,34.666402,135.502656,大阪府,千日デパート火災現場跡とは、大阪府大阪市にある商業施設の心霊スポットです。少女、女性、老婆の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=126&utm_source=mymap
祟りの岩,34.772833,135.316758,大阪府,祟りの岩とは、兵庫県西宮市にあるその他の心霊スポットです。男性、正体不明、老爺の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=129&utm_source=mymap
弁天池の牛女,34.775224,135.308751,大阪府,弁天池の牛女とは、兵庫県西宮市にある湖（池）・ダムの心霊スポットです。女性、正体不明、動物の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=130&utm_source=mymap
浄化槽で殺された無念の園児たち,34.777119,135.322567,大阪府,浄化槽で殺された無念の園児たちとは、兵庫県西宮市にあるその他の心霊スポットです。少年、少女、正体不明の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=131&utm_source=mymap
火垂るの墓：少女像（満池谷墓地）,34.752996,135.334707,大阪府,火垂るの墓：少女像（満池谷墓地）とは、兵庫県西宮市にある墓地・慰霊碑の心霊スポットです。老爺、男性、動物の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=132&utm_source=mymap
池之坊満月城,34.796336,135.246599,大阪府,池之坊満月城とは、兵庫県神戸市にあるホテル・旅館の心霊スポットです。少女、少年、女性の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=145&utm_source=mymap
樋の池の「手っちゃん」,34.752037,135.321078,大阪府,樋の池の「手っちゃん」とは、兵庫県西宮市にある湖（池）・ダムの心霊スポットです。女性、少年、少女の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=146&utm_source=mymap
三途の川の踏切,34.738938,135.381917,大阪府,三途の川の踏切とは、兵庫県尼崎市にある駅・踏切の心霊スポットです。老婆、少年、老爺の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=147&utm_source=mymap
メリーさんの館,34.782069,135.263446,大阪府,メリーさんの館とは、兵庫県神戸市にある住居の心霊スポットです。老婆、正体不明、女性の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=149&utm_source=mymap
長年空き地だった場所,34.739893,135.354084,大阪府,長年空き地だった場所とは、兵庫県西宮市にあるその他の心霊スポットです。女性、正体不明、男性の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=171&utm_source=mymap
信貴生駒スカイライン,34.686718,135.685701,大阪府,信貴生駒スカイラインとは、奈良県生駒市にある道・峠の心霊スポットです。少年、正体不明、少女の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=178&utm_source=mymap
西宮市香櫨園（こうろえん）浜,34.724556,135.329032,大阪府,西宮市香櫨園（こうろえん）浜とは、兵庫県西宮市にある海の心霊スポットです。老婆、少女、正体不明の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=185&utm_source=mymap
五ケ池・仁川ピクニックセンター,34.779544,135.334665,大阪府,五ケ池・仁川ピクニックセンターとは、兵庫県西宮市にある湖（池）・ダムの心霊スポットです。老婆、女性、老爺の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=186&utm_source=mymap
苦楽園　,34.751795,135.313161,大阪府,苦楽園　とは、兵庫県西宮市にある公園・城跡の心霊スポットです。正体不明、女性、老婆の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=195&utm_source=mymap
芦原トンネル,34.420505,135.796584,大阪府,芦原トンネルとは、奈良県高取町にあるトンネルの心霊スポットです。男性、老爺、少年の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=203&utm_source=mymap
芝山トンネル（旧柏原トンネル）,34.573056,135.653423,大阪府,芝山トンネル（旧柏原トンネル）とは、大阪府柏原市にあるトンネルの心霊スポットです。老爺、老婆、動物の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=210&utm_source=mymap
こしき岩,34.75868,135.322056,大阪府,こしき岩とは、兵庫県西宮市にあるその他の心霊スポットです。女性、正体不明、男性の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=239&utm_source=mymap
首吊り廃墟,34.6505,135.505954,大阪府,首吊り廃墟とは、大阪府大阪市にある商業施設の心霊スポットです。少年、女性、少女の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=262&utm_source=mymap
暗峠,34.665096,135.671215,大阪府,暗峠とは、奈良県生駒市にある道・峠の心霊スポットです。女性、正体不明、老婆の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=268&utm_source=mymap
ほととぎす旅館,34.322552,135.269356,大阪府,ほととぎす旅館とは、大阪府阪南市にあるホテル・旅館の心霊スポットです。少女、老婆、少年の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=269&utm_source=mymap
旧生駒トンネル,34.6878,135.658128,大阪府,旧生駒トンネルとは、大阪府東大阪市にあるトンネルの心霊スポットです。動物、少年、女性の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=270&utm_source=mymap
皆殺しの館跡,34.375941,135.368967,大阪府,皆殺しの館跡とは、大阪府熊取町にある住居の心霊スポットです。少女、老婆、老爺の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=273&utm_source=mymap
