name,latitude,longitude,prefecture,description,url
旧東山トンネル（花山トンネル）,34.989657,135.790642,滋賀県,旧東山トンネル（花山トンネル）とは、京都府京都市にあるトンネルの心霊スポットです。老婆、女性、動物の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=55&utm_source=mymap
ホテル祇園,35.077501,135.886539,滋賀県,ホテル祇園とは、滋賀県大津市にあるホテル・旅館の心霊スポットです。老婆、老爺、少女の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=68&utm_source=mymap
旧柳ヶ瀬トンネル,35.60422,136.17257,滋賀県,旧柳ヶ瀬トンネルとは、福井県敦賀市にあるトンネルの心霊スポットです。少女、男性、動物の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=69&utm_source=mymap
厨子奥トンネル,34.991006,135.802205,滋賀県,厨子奥トンネルとは、京都府京都市にあるトンネルの心霊スポットです。正体不明、老爺、男性の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=116&utm_source=mymap
天ケ瀬ダム,34.867999,135.839459,滋賀県,天ケ瀬ダムとは、京都府宇治田原町にある湖（池）・ダムの心霊スポットです。正体不明、女性、老爺の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=143&utm_source=mymap
宇治川ライン,34.877878,135.828502,滋賀県,宇治川ラインとは、京都府宇治市にある道・峠の心霊スポットです。女性、正体不明、男性の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=144&utm_source=mymap
くつわ池,34.859498,135.836259,滋賀県,くつわ池とは、京都府宇治田原町にある湖（池）・ダムの心霊スポットです。正体不明、少女、女性の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=172&utm_source=mymap
あみだババアの池,34.816653,135.765256,滋賀県,あみだババアの池とは、京都府京田辺市にある湖（池）・ダムの心霊スポットです。正体不明、老婆、男性の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=219&utm_source=mymap
シガイの森（新開の森）,35.145823,136.11965,滋賀県,シガイの森（新開の森）とは、滋賀県近江八幡市にある山・森の心霊スポットです。老爺、女性、動物の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=230&utm_source=mymap
旧佐和山トンネル,35.277266,136.270361,滋賀県,旧佐和山トンネルとは、滋賀県彦根市にあるトンネルの心霊スポットです。少年、男性、老婆の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=271&utm_source=mymap
甲賀ファミリーランド跡,34.952033,136.107964,滋賀県,甲賀ファミリーランド跡とは、滋賀県湖南市にある遊園地の心霊スポットです。少年、老婆、正体不明の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=272&utm_source=mymap
流れ橋（上津屋橋）,34.86838,135.748395,滋賀県,流れ橋（上津屋橋）とは、京都府八幡市にある橋の心霊スポットです。女性、男性、正体不明の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=355&utm_source=mymap
多羅尾処刑場跡,34.809248,136.066575,滋賀県,多羅尾処刑場跡とは、滋賀県甲賀市にある墓地・慰霊碑の心霊スポットです。正体不明、少女、少年の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=523&utm_source=mymap
梅ノ木踏切,34.951635,135.705152,滋賀県,梅ノ木踏切とは、京都府向日市にある駅・踏切の心霊スポットです。正体不明、老婆、女性の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=697&utm_source=mymap
安井金比羅宮,34.99992,135.775961,滋賀県,安井金比羅宮とは、京都府京都市にある神社・寺の心霊スポットです。女性、老爺、男性の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=722&utm_source=mymap
北陸トンネル,35.652809,136.097525,滋賀県,北陸トンネルとは、福井県敦賀市にあるトンネルの心霊スポットです。女性、男性、老婆の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=829&utm_source=mymap
三雲トンネルと電話ボックス,34.976939,136.119512,滋賀県,三雲トンネルと電話ボックスとは、滋賀県湖南市にあるトンネルの心霊スポットです。動物、少年、老婆の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=831&utm_source=mymap
旧観音坂トンネル,35.385212,136.337277,滋賀県,旧観音坂トンネルとは、滋賀県米原市にあるトンネルの心霊スポットです。老婆、男性、少女の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=832&utm_source=mymap
琵琶湖大橋,35.121428,135.934058,滋賀県,琵琶湖大橋とは、滋賀県大津市にある橋の心霊スポットです。少女、動物、男性の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=833&utm_source=mymap
日野川ダム,35.0047,136.259896,滋賀県,日野川ダムとは、滋賀県日野町にある湖（池）・ダムの心霊スポットです。女性、少女、正体不明の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=899&utm_source=mymap
大塚団地跡,35.050119,136.200026,滋賀県,大塚団地跡とは、滋賀県東近江市にある住居の心霊スポットです。正体不明、少女、男性の霊が目撃されています。,https://ghostmap.jp/spotdetail.php?spotcd=1034&utm_source=mymap
